code,name,site_url
TQU,Đại học Tân Trào,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tan-trao-TQU.html
TSN,Đại Học Nha Trang,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nha-trang-TSN.html
TTD,Đại Học Thể DụcThể Thao Đà Nẵng,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-ducthe-thao-da-nang-TTD.html
TTG,Đại Học Tiền Giang,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tien-giang-TTG.html
TTH,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html
TTN,Đại Học Tây Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-nguyen-TTN.html
TTQ,Đại Học Quốc Tế Sài Gòn,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-sai-gon-TTQ.html
TYS,Đại Học Y Khoa Phạm Ngọc Thạch,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-pham-ngoc-thach-TYS.html
UKB,Đại Học Kinh Bắc,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-bac-UKB.html
UKH,Đại học Khánh Hòa,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khanh-hoa-UKH.html
VGU,Đại Học Việt Đức,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-viet-duc-VGU.html
VHD,Đại Học Công Nghiệp Việt Hung,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-viet-hung-VHD.html
VHH,Đại Học Văn Hóa Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html
VHS,Đại Học Văn Hóa TPHCM,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-tphcm-VHS.html
VLU,Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-long-VLU.html
VPH,Trường Sĩ Quan Kĩ Thuật Quân Sự -  Hệ Quân sự - Đại Học Trần Đại Nghĩa,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-ki-thuat-quan-su-he-quan-su-dai-hoc-tran-dai-nghia-VPH.html
VUI,Đại Học Công Nghiệp Việt Trì,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-viet-tri-VUI.html
